validation_loss,epoch,step,loss,reconstruction_loss,kl_loss
,42,171,2.389561653137207,0.7374411821365356,1.652120590209961
2.1297707557678223,43,175,,,
,43,175,1.9641270637512207,0.7318974733352661,1.232229471206665
2.1237380504608154,44,179,,,
,44,179,2.0195565223693848,0.7233697175979614,1.2961868047714233
1.96630859375,45,183,,,
,45,183,1.7714691162109375,0.7183284759521484,1.0531405210494995
1.896955132484436,46,187,,,
,46,187,1.7743289470672607,0.7122732996940613,1.0620555877685547
1.9136590957641602,47,191,,,
,47,191,1.6484663486480713,0.7082579731941223,0.9402083158493042
1.9520378112792969,48,195,,,
,48,195,2.009666681289673,0.6992789506912231,1.3103876113891602
1.9013285636901855,49,199,,,
,49,199,1.8740284442901611,0.6939975023269653,1.1800310611724854
1.9373730421066284,50,203,,,
,50,203,1.7731105089187622,0.6880605220794678,1.0850498676300049
1.7649264335632324,51,207,,,
,51,207,1.6766241788864136,0.6824167370796204,0.994207501411438
1.7091515064239502,52,211,,,
,52,211,1.6458988189697266,0.6768543124198914,0.9690446257591248
1.4663029909133911,53,215,,,
,53,215,1.4996381998062134,0.6703511476516724,0.8292871117591858
1.5306577682495117,54,219,,,
,54,219,1.46950364112854,0.6633938550949097,0.8061098456382751
1.5372049808502197,55,223,,,
,55,223,1.5086300373077393,0.6606192588806152,0.8480109572410583
1.6486601829528809,56,227,,,
,56,227,1.770535945892334,0.6540095806121826,1.1165262460708618
1.5317482948303223,57,231,,,
,57,231,1.4453463554382324,0.6471452116966248,0.7982010841369629
1.660834789276123,58,235,,,
,58,235,1.4599230289459229,0.6415069699287415,0.8184161186218262
1.4701097011566162,59,239,,,
,59,239,1.4423930644989014,0.6368626356124878,0.8055304288864136
1.5430877208709717,60,243,,,
,60,243,1.4996716976165771,0.6316531896591187,0.8680185079574585
1.3835275173187256,61,247,,,
,61,247,1.4286679029464722,0.6258308291435242,0.8028370141983032
1.592837929725647,62,251,,,
,62,251,1.2913093566894531,0.6201972365379333,0.6711121797561646
1.5008544921875,63,255,,,
,63,255,1.4361298084259033,0.6150060892105103,0.8211237788200378
1.412727952003479,64,259,,,
,64,259,1.3169381618499756,0.6082615852355957,0.7086765766143799
1.6732230186462402,65,263,,,
,65,263,1.3648673295974731,0.604032039642334,0.7608352899551392
1.5110487937927246,66,267,,,
,66,267,1.2254729270935059,0.5997042655944824,0.6257685422897339
1.2595453262329102,67,271,,,
,67,271,1.1804358959197998,0.593941330909729,0.5864946246147156
